0 4221 1193 4221 1193
3 6264 1345 6264 1345
19 7226 1435 7226 1435
35 10058 1709 9929 1709
51 15745 2092 13665 2092
67 21176 2617 18437 2617
83 30247 3267 24419 3267
99 39194 4104 31593 4104
115 51825 5059 39936 5059
131 65777 6166 49498 6166
147 80544 7409 60207 7409
163 96911 8805 72119 8805
179 115414 10318 85188 10318
195 134463 11998 99462 11998
211 160322 13815 116998 13815
227 191034 15716 140907 15716
243 218274 17817 160822 17817
259 245850 20067 180606 20067
275 275062 22430 201529 22430
291 306003 24962 223657 24962
307 334639 27665 247005 27665
323 372969 30450 271506 30450
339 408880 33428 297153 33428
355 446580 36529 324071 36529
371 485854 39766 352070 39766
387 526957 43165 381348 43165
403 575974 46673 418124 46673
419 619483 50355 450014 50355
435 674658 57513 490760 57513
451 739465 61545 542193 61545
467 790005 65785 578498 65785
483 842263 70139 615993 70139
499 896150 74643 654642 74643
515 951755 79320 694504 79320
531 1013179 84038 739680 84038
547 1080546 88942 790321 88942
563 1143627 94035 836152 94035
579 1206363 99231 881159 99231
595 1270712 104583 927284 104583
611 1336887 110116 974727 110116
627 1404579 115715 1023200 115715
643 1474191 121576 1073067 121576
659 1545248 127496 1123930 127496
675 1618116 133579 1176083 133579
691 1692597 139792 1229366 139792
707 1768799 146167 1283819 146167
723 1853791 152660 1346655 152660
739 1956724 159127 1426897 159127
755 2043165 165929 1490125 165929
771 2126736 172837 1550009 172837
787 2212149 179935 1611245 179935
803 2299118 187135 1673513 187135
819 2387973 194571 1737180 194571
835 2478275 202042 1801762 202042
851 2570400 209705 1867735 209705
867 2664146 217507 1934804 217507
883 2759559 225427 2003054 225427
899 2856797 233576 2072579 233576
915 2969975 241692 2157621 241692
931 3070761 250084 2229746 250084
947 3189983 265860 2319805 265860
963 3329614 274538 2430624 274538
979 3436289 283460 2507182 283460
995 3544681 292540 2584915 292540
1011 3654674 301720 2663782 301720
1027 3766390 311105 2743860 311105
1043 3887920 320443 2833254 320443
1059 4019176 330003 2931899 330004
1075 4140179 339772 3019757 339773
1091 4258936 349635 3104897 349636
1107 4379539 359720 3191388 359721
1123 4501687 369903 3278909 369904
1139 4625611 380257 3367726 380258
1155 4751291 390794 3457763 390794
1171 4878522 401446 3548904 401446
1187 5007422 412185 3641201 412185
1203 5138051 423144 3734744 423144
1219 5270337 434188 3829395 434188
1235 5416505 445341 3937525 445341
1251 5591685 456407 4074126 456407
1267 5737180 467833 4180520 467833
1283 5876978 479510 4280736 479510
1299 6018334 491219 4382027 491219
1315 6161549 503188 4484653 503188
1331 6306337 515297 4588350 515297
1347 6452953 527465 4693358 527465
1363 6601045 539812 4799410 539812
1379 6750958 552320 4906751 552320
1395 6902465 564955 5015207 564955
1411 7055843 577770 5124984 577770
1427 7233201 590559 5258311 590559
1443 7390056 603617 5370617 603617
1459 7574491 628054 5510001 628054
1475 7788979 641331 5680239 641331
1491 7951809 654996 5797070 654996
1507 8116207 668705 5914913 668705
1523 8282419 682627 6034111 682627
1539 8450158 696687 6154317 696687
1555 8631837 710657 6287972 710657
1571 8826986 724894 6434619 724894
1587 9005941 739347 6564534 739347
1603 9180930 753919 6690018 753919
1619 9357529 768669 6816617 768669
1635 9535828 783572 6944394 783572
1651 9715807 798597 7073378 798597
1667 9897623 813835 7203659 813835
1683 10080938 829185 7334988 829185
1699 10265933 844648 7467492 844648
1715 10452679 860266 7601264 860266
1731 10641154 876040 7736218 876040
1747 10848432 891847 7889576 891847
1763 11095833 907496 8082510 907496
1779 11300532 923635 8232220 923635
1795 11496367 939979 8372578 939979
1811 11693914 956402 8514172 956402
1827 11893072 973085 8656853 973085
1843 12094196 989869 8800983 989869
1859 12296812 1006729 8946103 1006729
1875 12501032 1023767 9092395 1023767
1891 12706982 1040991 9239878 1040991
1907 12914587 1058255 9388544 1058255
1923 13124103 1075814 9538571 1075814
1939 13365590 1093237 9720132 1093237
1955 13578503 1110963 9872608 1110963
1971 13828269 1144067 10061435 1144067
1987 14117554 1161962 10291032 1161962
2003 14336471 1180315 10448068 1180315
2019 14557055 1198755 10606201 1198755
2035 14779334 1217357 10765578 1217357
2051 15003199 1236115 10926015 1236115
